title,code,type,en,fr,status
Next,LBL_NEXT,admin,Next,Prochain,Active
Earn more with Cab,LBL_EARN_MORE_WITH_FETCH,admin,Earn more with Cab,Gagnez plus avec Cab,Active
Login,LBL_LOGIN,admin,Login,S'identifier,Active
Login with your Registered mobile number,LBL_LOGIN_WITH_YOUR_REGISTERED_MOBILE_NUMBER,admin,Login with your Registered mobile number,Connectez-vous avec votre enregistré numéro de téléphone mobile,Active
Done,LBL_DONE,admin,Done,terminé,Active
Your number,LBL_YOUR_NUMBER,admin,Your number,ton numéro,Active
Please enter mobile number,LBL_PLEASE_ENTER_MOBILE_NUMBER,admin,Please enter mobile number,S'il vous plaît entrer le numéro mobile,Active
Please enter valid mobile number,LBL_PLEASE_ENTER_VALID_MOBILE_NUMBER,admin,Please enter valid mobile number,S'il vous plaît entrer le numéro de téléphone portable valide,Active
Personal Verification,PERSONAL_VERIFICATION,admin,Personal Verification,Vérification personnelle,Active
Please upload required documents.Get verified to start Riding,LBL_PLEASE_UPLOAD_REQUIRED_DOCUMENTS_GET_VERIFIED_TO_START_RIDING,admin,Please upload required documents.Get verified to start Riding,S'il vous plaît télécharger nécessaire pour démarrer documents.Get vérifié Riding,Active
Upload Front of NRIC,LBL_UPLOAD_FRONT_OF_NRIC,admin,Upload Front of NRIC,Télécharger avant de CIRN,Active
Upload Back of NRIC,LBL_UPLOAD_BACK_OF_NRIC,admin,Upload Back of NRIC,Réimportez de CIRN,Active
Upload Profile Picture,LBL_UPLOAD_PROFILE_PICTURE,admin,Upload Profile Picture,Télécharger profil Picture,Active
Admin Verification,LBL_DRIVER_VERIFICATION,admin,Admin Verification,Vérification pilote,Active
Please upload required documents Get verified to start Driving,LBL_PLEASE_UPLOAD_REQUIRED_DOCUMENTS_GET_VERIFIED_TO_START_DRIVING,consumer,"Please upload required documents Get verified to start Driving""}",S'il vous plaît télécharger les documents requis vérifiés pour démarrer Get Driving « },Active
Upload Driving License(Front),LBL_UPLOAD_DRIVING_LICENSE_FRONT,admin,Upload Driving License(Front),Télécharger Permis de conduire (avant),Active
Upload Driving License (Back),LBL_UPLOAD_DRIVING_LICENSE_BACK,admin,Upload Driving License (Back),Télécharger Permis de conduire (Retour),Active
Vehicle Details,LBL_VEHICLE_DETAILS,admin,Vehicle Details,Les détails du véhicule,Active
Please upload required documents.Get verified to start Driving,LBL_PLEASE_UPLOAD_REQUIRED_DOCUMENTS_GET_VERIFIED_TO_START_DRIVING,admin,Please upload required documents.Get verified to start Driving,S'il vous plaît télécharger nécessaire pour démarrer documents.Get vérifié Driving,Active
Car Category,LBL_CAR_CATEGORY,admin,Car Category,Catégorie de voiture,Active
Vehicle Number,LBL_VEHICLE_NUMBER,admin,Vehicle Number,Numéro de véhicule,Active
Upload Vehicle Road Tax,LBL_UPLOAD_VEHICLE_ROAD_TAX,admin,Upload Vehicle Road Tax,Télécharger la taxe des véhicules routiers,Active
Upload Vehicle photo(Front),LBL_UPLOAD_VEHICLE_PHOTOFRONT,admin,Upload Vehicle photo(Front),Le chargement du véhicule de photo (avant),Active
Upload Vehicle photo (Rear),LBL_UPLOAD_VEHICLE_PHOTO_REAR,admin,Upload Vehicle photo (Rear),Ajouter véhicule photo (arrière),Active
Register,LBL_REGISTER,admin,Register,S'inscrire,Active
First Name,LBL_FIRST_NAME,admin,First Name,Prénom,Active
Last Name,LBL_LAST_NAME,admin,Last Name,Nom de famille,Active
Your Email Address,LBL_YOUR_EMAIL_ADDRESS,admin,Your Email Address,Votre adresse email,Active
Please enter first name,LBLPLEASE_ENTER_FIRST_NAME,admin,Please enter first name,S'il vous plaît entrer le prénom,Active
Please enter last name,LBL_PLEASE_ENTER_LAST_NAME,admin,Please enter last name,S'il vous plaît entrer nom,Active
Please enter mobile number,LBL_PLEASE_ENTER_MOBILE_NUMBER,admin,Please enter mobile number,S'il vous plaît entrer le numéro mobile,Active
Please enter email id,LBL_PLEASE_ENTER_EMAIL_ID,admin,Please enter email id,S'il vous plaît entrer id email,Active
Please upload your front NRIC photo,LBL_PLEASE_UPLOAD_YOUR_FR0NT_NRIC_PHOTO,admin,Please upload your front NRIC photo,S'il vous plaît télécharger votre photo CIRN avant,Active
Please upload your back NRIC photo,LBL_PLEASE_UPLOAD_YOUR_BACK_NRIC_PHOTO,admin,Please upload your back NRIC photo,S'il vous plaît télécharger votre dos photo CIRN,Active
Please upload your profile photo,LBL_PLEASE_UPLOAD_YOUR_PROFILE_PHOTO,admin,Please upload your profile photo,S'il vous plaît télécharger votre photo de profil,Active
Please upload your admin license fr0nt photo,LBL_PLEASE_UPLOAD_YOUR_DRIVER_LICENSE_FR0NT_PHOTO,admin,Please upload your admin license front photo,S'il vous plaît télécharger votre photo avant de permis de conduire,Active
Please upload your admin license back photo,LBL_PLEASE_UPLOAD_YOUR_DRIVER_LICENSE_BACK_PHOTO,admin,Please upload your admin license back photo,S'il vous plaît télécharger votre permis de conduire avec photo retour,Active
Please select Vehicle type,LBL_PLEASE_SELECT_VEHICLE_TYPE,admin,Please select car category,S'il vous plaît choisir une catégorie de voiture,Active
Please enter vehicle number,LBL_PLEASE_ENTER_VEHICLE_NUMBER,admin,Please enter the vehicle number,S'il vous plaît entrer le numéro de véhicule,Active
Please upload your vehicle road tax photo,PLEASE_UPLOAD_YOUR_ROAD_TAX_PHOTO,admin,Please upload your vehicle road tax photo,S'il vous plaît télécharger votre photo du véhicule taxe routière,Active
Please upload your insurance covernote photo,LBL_PLEASE_UPLOAD_YOUR_INSURANCE_COVERNOTE_PHOTO,consumer,Please upload your insurance cover note photo,S'il vous plaît télécharger votre couverture d'assurance note photo,Active
Please upload your vehicle front photo,LBL_PLEASE_UPLOAD_YOUR_VEHICLE_FRONT_PHOTO,admin,Please upload your vehicle front photo,S'il vous plaît télécharger votre photo avant du véhicule,Active
Please upload your vehicle rear photo,LBL_PLEASE_UPLOAD_YOUR_VEHICLE_REAR_PHOTO,admin,Please upload your vehicle rear photo,S'il vous plaît télécharger votre photo du véhicule arrière,Active
Please upload your vehicle left photo,LBL_PLEASE_UPLOAD_YOUR_VEHICLE_LEFT_PHOTO,admin,Please upload your vehicle left photo,S'il vous plaît télécharger votre photo du véhicule gauche,Active
Please upload your vehicle right photo,LBL_PLEASE_UPLOAD_YOUR_VEHICLE_RIGHT_PHOTO,admin,Please upload your vehicle right photo,S'il vous plaît télécharger votre photo du véhicule droit,Active
Please upload required documents. Get verified to start Driving,LBL_PLEASE_UPLOAD_REQUIRED_DOCUMENTS_GET_VERIFIED_TO_START_DRIVING,admin,Please upload required documents. Get verified to start Driving,S'il vous plaît télécharger les documents requis. Être vérifié commencer à conduire,Active
Register,LBL_SIGNUP,admin,Register,S'inscrire,Active
Almost There!,LBL_ALMOST_THERE,admin,Almost There!,Presque là!,Active
*Thank you for your interest.,LBL_THANK_YOU_FOR_YOUR_INTEREST,admin,Thank you for registering.,Merci de votre inscription.,Active
"*Currently your account is reviewing by our team.Once your account will active , we will inform you via email.",LBL_ACCOUNT_PENDING_MESSAGE,admin,Your account is currently being reviewed by our support team. The status of your registration will be sent to your email.,Votre compte est en cours d'examen par notre équipe d'assistance actuellement. L'état de votre inscription vous sera envoyé à votre e-mail.,Active
Got It,LBL_GOT_IT,admin,Got It,Je l'ai,Active
Verify Mobile Number,LBL_VERIFY_MOBILE_NUMBER,admin,Verify Mobile Number,Vérifier mobile Nombre,Active
OTP has been sent to,LBL_OTP_HAS_BEEN_SENT_TO_YOUR,admin,OTP has been sent to,Bureau du Procureur a-été envoyé,Active
please enter it.,LBL_PLEASE_ENTER_IT,admin,please enter it.,S'il vous plaît entrer.,Active
Didn’t receive OTP?,LBL_DIDNT_RECEIVE_OTP,admin,Didn’t receive OTP?,N'a pas reçu du Bureau du Procureur?,Active
Resend code in,LBL_RESEND_CODE_IN,admin,Resend OTP in,Bureau du Procureur en Renvoyer,Active
Resend Code,LBL_RESEND_CODE,admin,Resend OTP,Bureau du Procureur Renvoyer,Active
OTP Verification,LBL_OTP_VERIFICATION,admin,OTP Verification,Vérification du Bureau du Procureur,Active
Enter OTP,LBL_ENTER_OTP,admin,Enter OTP,Entrez OTP,Active
Enter 4 Digit OTP,LBL_ENTER_4_DIGIT_OTP,admin,Enter 4 Digit OTP,Entrez 4 chiffres OTP,Active
*Trip finished successfully,LBL_TRIP_FINISHED_SUCCESSFULLY,admin,Trip completed successfully,Voyage terminé avec succès,Active
OTP verified successfully,LBL_OTP_VERIFIED_SUCCESSFULLY,admin,OTP verified successfully,OTP vérifié avec succès,Active
Upload Vehicle photo(Left),LBL_UPLOAD_VEHICLE_PHOTOLEFT,admin,Upload Vehicle photo(Left),Ajouter photo du véhicule (gauche),Active
Upload Vehicle photo (Right),LBL_UPLOAD_VEHICLE_PHOTO_RIGHT,admin,Upload Vehicle photo (Right),Ajouter véhicule photo (à droite),Active
Upload Insurance Covernote,LBL_UPLOAD_INSURANCE_COVERNOTE,admin,Upload Insurance Cover note,Télécharger Assurance note couverture,Active
Personal Verification,LBL_PERSONAL_VERIFICATION,admin,Personal Verification,Vérification personnelle,Active
Please enter valid email id,LBL_PLEASE_ENTER_VALID_EMAIL_ID,admin,Please enter valid email id,S'il vous plaît entrer id email valide,Active
Please upload your insurance covernote photo,LBL_PLEASE_UPLOAD_YOUR_INSURANCE_COVERNOTE_PHOTO,admin,Please upload your insurance cover note photo,S'il vous plaît télécharger votre couverture d'assurance note photo,Active
Please turn on internet,MSG_PLEASE_TURN_ON_INTERNET,consumer,Please turn on internet,S'il vous plaît activer Internet,Active
Internal server error,MSG_INTERNAL_SERVER_ERROR,consumer,Internal server error,Erreur Interne du Serveur,Active
Resource Not Found,MSG_RESOURCE_NOT_FOUND,consumer,Resource Not Found,Ressource introuvable,Active
Contact Us,LBL_CONTACT_US,admin,Contact Us,Nous contacter,Active
Need Help?,LBL_NEED_HELP,admin,Need Help?,Besoin d'aide?,Active
Our customer care team will be in touch with you within the next 12 hours.,LBL_OUR_CUSTOMER_CARE_TEAM_WILL_BE_IN_ TOUCH_WITH_YOU_WITHIN_THE_NEXT_ 12_HOURS,admin,Our customer care team will be in touch with you within the next 12 hours.,Notre équipe de service à la clientèle sera en contact avec vous dans les 12 heures le lendemain.,Active
Type your message here,LBL_TYPE_YOUR_MESSAGE_HERE,admin,Type your message here,tapez votre message ici,Active
Send,LBL_SEND,admin,Send,Envoyer,Active
Please enter message,LBL_PLEASE_ENTER_MESSAGE,admin,Please enter message,S'il vous plaît entrer un message,Active
your message submitted successfully,LBL_YOUR_MESSAGE_SUBMITTED_SUCCESSFULLY,admin,Your message submitted successfully,Votre message envoyé avec succès,Active
No any trips yet!,LBL_NO_ANY_TRIPS_YET,consumer,No any trips yet!,Pas encore des voyages!,Active
No any scheduled trips yet!,NO_ANY_SCHEDULED_TRIPS_YET,consumer,No any scheduled trips yet!,Non prévu des voyages encore!,Active
Vehicle Number,LBL_VEHICLE_NUMBER,consumer,Vehicle Number,Numéro de véhicule,Active
Booking ID,LBL_BOOKING_ID,consumer,Booking ID,réservation ID,Active
Distance,LBL_DISTANCE,consumer,Distance,Distance,Active
Time,LBL_TIME,consumer,Time,Temps,Active
Price,LBL_PRICE,consumer,Price,Prix,Active
Cancel Ride,LBL_CANCEL_RIDE,consumer,Cancel Ride,annuler tour,Active
No notification yet!,LBL_NO_NOTIFICATION_YET,consumer,No notification yet!,Pas encore notification!,Active
Invite friends,LBL_INVITE_FRIENDS,consumer,Invite friends,Inviter des amis,Active
Invite,LBL_INVITE,consumer,Invite,Inviter,Active
Add Home,LBL_ADDHOME,consumer,Add Home,Ajouter Accueil,Active
Add Work,LBL_ADDWORK,consumer,Add Work,Ajouter travail,Active
Select Vehicle types,LBL_SELECT_VEHICLE_TYPES,admin,Select Vehicle types,Sélectionnez les types de véhicules,Active
Home,LBL_HOME,consumer,Home,Accueil,Active
Work,LBL_WORK,consumer,Work,Travail,Active
Are you sure you want to delete?,LBL_ARE_YOU_SURE_YOU_WANT_TO_DELETE,consumer,Are you sure you want to delete?,Etes-vous sûr que vous voulez supprimer?,Active
Yes,BTN_YES,consumer,Yes,Et c'est,Active
No,BTN_NO,consumer,No,ne pas,Active
Offline,LBL_OFFLINE,admin,Offline,hors ligne,Active
Time left,LBL_TIME_LEFT,admin,Time left,Temps restant,Active
Total Fare,LBL_TOTAL_FARE,admin,Total Fare,Prix ​​total,Active
km,LBL_KM,admin,km,km,Active
Accept,LBL_ACCEPT,admin,Accept,J'accepte,Active
Decline,LBL_DECLINE,admin,Decline,déclin,Active
Pick up,LBL_PICK_UP,admin,Pick up,Ramasser,Active
Go to Pickup,LBL_GO_TO_PICKUP,admin,Go to Pickup,Aller au ramassage,Active
Call,LBL_CALL,admin,Call,Appel,Active
Start Trip,LBL_START_TRIP,admin,Start Trip,Start Trip,Active
Complete Trip,LBL_COMPLETE_TRIP,admin,Complete Trip,voyage complète,Active
Cash,LBL_CASH,admin,Cash,En espèces,Active
Discount,LBL_DISCOUNT,admin,Discount,Remise,Active
Paid Amount,LBL_PAID_AMOUNT,admin,Paid Amount,Le montant payé,Active
Confirm Total,LBL_CONFIRM_TOTAL,admin,Confirm Total,Confirmer total,Active
History,LBL_HISTORY,admin,History,L'histoire,Active
Booking ID :,LBL_BOOKING_ID,admin,Booking ID :,Réservation ID:,Active
Distance,LBL_DISTANCE,admin,Distance,Distance,Active
*Wallet,LBL_WALLET,consumer,E-Wallet,E-Wallet,Active
History,LBL_HISTORY,consumer,History,L'histoire,Active
Scheduled,LBL_SCHEDULED,consumer,Scheduled,prévu,Active
Notifications,LBL_NOTIFICATIONS,consumer,Notifications,notifications,Active
Settings,LBL_SETTINGS,consumer,Settings,Paramètres,Active
SOS,LBL_SOS,consumer,SOS,SOS,Active
Refer a Friend,LBL_REFER_A_FRIEND,consumer,Refer a Friend,Référez un ami,Active
Copyright 2019 Cab,LBL_COPYRIGHT_FETCH,consumer,Copyright 2020 © XongoLab,Droit d'auteur 2020 © XongoLab,Active
Your Balance,LBL_YOUR_BALANCE,consumer,Your Balance,votre solde,Active
Add,LBL_ADD,consumer,Add,Ajouter,Active
Recents,LBL_RECENTS,consumer,Recents,recents,Active
My Wallet,LBL_MY_WALLET,consumer,My Wallet,mon portefeuille,Active
Payment Options,LBL_PAYMENT_OPTIONS,consumer,Payment Options,Options de paiement,Active
E-Wallet Balance,LBL_WALLET_BALANCE,consumer,E-Wallet Balance,E-Wallet Équilibre,Active
Selected,LBL_SELECTED,consumer,Selected,choisi,Active
Select,LBL_SELECT,consumer,Select,Sélectionner,Active
Credit Card,LBL_CREDIT_CARD,consumer,Credit Card,Carte de crédit,Active
Add New Card,LBL_ADD_NEW_CARD,consumer,Add New Card,Ajouter une nouvelle carte,Active
Language,LBL_LANGUAGE,consumer,Language,Langue,Active
Saved Places,LBL_SAVED_PLACES,consumer,Saved Places,Adresses enregistrées,Active
Terms & Conditions,LBL_TERMS_AND_CONDITIONS,consumer,Terms \u0026 Conditions,Termes de conditions de u0026,Active
Privacy Policy,LBL_PRIVACY_POLICY,consumer,Privacy Policy,Politique de confidentialité,Active
Logout,LBL_LOGOUT,consumer,Logout,Se déconnecter,Active
Select Language,LBL_SELECT_LANGUAGE,consumer,Select Language,Choisir la langue,Active
More Places,LBL_MORE_PLACE,consumer,More Places,plus d'endroits,Active
Add New,LBL_ADD_NEW,consumer,Add New,Ajouter un nouveau,Active
Notifications,LBL_NOTIFICATION,admin,Notifications,notifications,Active
Base Fare,LBL_BASE_FARE,consumer,Base Fare,Tarif de base,Active
Booking Fee,LBL_BOOKING_FEE,consumer,Booking Fee,Frais de réservation,Active
Per Km,LBL_PER_KM,consumer,Per Km,par Km,Active
Per Min Fare,LBL_PER_MIN,consumer,Per Min Fare,Par tarif min,Active
Estimated Surcharges,LBL_ESTIMATED_SURCHARGES,consumer,Estimated Surcharges,Estimation surtaxes,Active
Additional Toll/Parking charges may apply,LBL_ADDITIONAL_TOLL_CHARGES_NOTE,consumer,Additional Toll/Parking charges may apply,Des frais supplémentaires péage / stationnement peut appliquer,Active
Seater,LBL_SEATER,consumer,Seater,places,Active
Options,LBL_OPTION,consumer,Options,options,Active
Note to admin,LBL_NOTE_TO_DRIVER,consumer,Note to admin,Note au conducteur,Active
Add Promo Code,LBL_ADD_PROMO_CODE,consumer,Add Promo Code,Ajouter Promo Code,Active
Enter Promo Code,LBL_ENTER_PROMO_CODE,consumer,Enter Promo Code,Saisir le code promotionnel,Active
Our customer care team will be in  touch with you within the next  12 hours.,LBL_OUR_CUSTOMER_CARE_TEAM_WILL_BE_IN_TOUCH_WITH_YOU_WITHIN_THE_NEXT_12_HOURS,admin,Our customer care team will be in  touch with you within the next  12 hours.,Notre équipe de service à la clientèle sera en contact avec vous dans les 12 heures le lendemain.,Active
Package History,LBL_PAYMENT_HISTORY,admin,Package History,histoire paquet,Active
Promo,LBL_PROMO,consumer,Promo,promo,Active
Options,LBL_OPTION,consumer,Options,options,Active
Book,LBL_BOOK,consumer,Book,Livre,Active
Schedule,LBL_SCHEDULE,consumer,Schedule,Programme,Active
Pay,LBL_PAY,admin,Pay,Payer,Active
Enter First Name,LBL_ENTER_FIRST_NAME,admin,Enter First Name,Entrez votre prénom,Active
Enter Last Name,LBL_ENTER_LAST_NAME,admin,Enter Last Name,Entrer le nom de famille,Active
Enter Mobile Number,LBL_ENTER_MOBILE_NUMBER,admin,Enter Mobile Number,Entrez numéro de mobile,Active
Enter Email Address,LBL_ENTER_EMAIL_ADDRESS,admin,Enter Email Address,Entrer l'adresse e-mail,Active
Select Language,LBL_SELECT_LANGUAGE,admin,Select Language,Choisir la langue,Active
Document Management,LBL_DOCUMENT_MANAGEMENT,admin,Document Management,Gestion de documents,Active
Take a Picture,LBL_FROM_CAMERA,consumer,Take a Picture,Prendre une photo,Active
Emergency Contacts,LBL_EMERGENCY_CONTACT,consumer,Emergency Contacts,Contacts d'urgence,Active
From Gallery,LBL_FROM_GALLERY,consumer,From Gallery,Galerie de,Active
From Gallery,LBL_FROM_GALLERY,admin,From Gallery,Galerie de,Active
Cancel,LBL_CANCEL,consumer,Cancel,Annuler,Active
Cancel,LBL_CANCEL,admin,Cancel,Annuler,Active
Please upload your admin license back photo,LBL_PLEASE_UPLOAD_YOUR_DRIVER_LICENSE_BACK_PHOTO,admin,Please upload your admin license back photo,S'il vous plaît télécharger votre permis de conduire avec photo retour,Active
Wallet,LBL_WALLET,admin,Wallet,Portefeuille,Active
Package History,LBL_EARNING_HISTORY,admin,Package History,histoire paquet,Active
Earning History,LBL_EARNING_HISTORY,consumer,Earning History,Histoire de gain,Active
Subscription,LBL_SUBSCRIPTION,admin,Subscription,Abonnement,Active
Setting,LBL_SETTING,admin,Setting,Réglage,Active
Logout,LBL_LOGOUT,admin,Logout,Se déconnecter,Active
Vehicle Management,LBL_VEHICLE_MANAGEMENT,admin,Vehicle Management,gestion des véhicules,Active
Language,LBL_LANGUAGE,admin,Language,Langue,Active
Terms & Conditions,LBL_TERMS_CONDITIONS,admin,Terms \u0026 Conditions,Termes de conditions de u0026,Active
Privacy Policy,LBL_PRIVACY_POLICY,admin,Privacy Policy,Politique de confidentialité,Active
Your Balance,LBL_YOUR_BALANCE,admin,Your Balance,votre solde,Active
Add,LBL_ADD,admin,Add,Ajouter,Active
Recents,LBL_RECENT,admin,Recents,recents,Active
RM,LBL_RM,consumer,RM,RM,Active
RM,LBL_RM,admin,RM,RM,Active
No any trips yet!,LBL_NO_ANY_TRIPS_YET,admin,No any trips yet!,Pas encore des voyages!,Active
Your ride request remain time,LBL_YOUR_RIDE_REQUEST_REMAIN_TIME,admin,Your ride request remain time,Votre demande RESTER temps trajet,Active
Buy,LBL_BUY,admin,Buy,Acheter,Active
Buy Package,LBL_BUY_PACKAGE,admin,Buy Package,Acheter paquet,Active
Settings,LBL_SETTINGS,admin,Settings,Paramètres,Active
Profile,LBL_PROFILE,admin,Profile,Profil,Active
Receipt,LBL_RECEIPT,admin,Receipt,Le reçu,Active
My Wallet,LBL_MY_WALLET,admin,My Wallet,mon portefeuille,Active
